,x,y,z,,,
233,92449.8145,438229.6023,3.2,0,0,0
234,92449.8145,438229.6023,12.8,0,0,0
235,92446.70592,438232.1195,7.79E-12,0,0,0
236,92446.70592,438232.1195,3.2,0,0,0
237,92446.70592,438232.1195,12.8,0,0,0
238,92446.70592,438232.1195,25.6,0,0,0
239,92440.48875,438237.1541,6.4,0,0,0
240,92440.48875,438237.1541,19.2,0,0,0
241,92431.163,438244.7059,22.4,0,0,0
242,92431.163,438244.7059,38.4,0,0,0
243,92428.05442,438247.2232,16,0,0,0
244,92424.94583,438249.7405,6.4,0,0,0
245,92421.83725,438252.2578,3.2,0,0,0
246,92421.83725,438252.2578,6.4,0,0,0
247,92418.72866,438254.7751,19.2,0,0,0
248,92415.62008,438257.2924,6.4,0,0,0
249,92412.5115,438259.8096,16,0,0,0
250,92403.18575,438267.3615,3.2,0,0,0
251,92403.18575,438267.3615,6.4,0,0,0
252,92403.18575,438267.3615,16,0,0,0
253,92400.07716,438269.8788,3.2,0,0,0
254,92396.96858,438272.396,2.93E-12,0,0,0
255,92393.85999,438274.9133,3.2,0,0,0
256,92502.06913,438192.4343,16,0,0,0
257,92502.06913,438192.4343,32,0,0,0
258,92502.06913,438192.4343,54.4,0,0,0
259,92502.06913,438192.4343,60.8,0,0,0
260,92498.96054,438194.9516,9.6,0,0,0
261,92498.96054,438194.9516,12.8,0,0,0
262,92498.96054,438194.9516,25.6,0,0,0
263,92498.96054,438194.9516,28.8,0,0,0
264,92498.96054,438194.9516,67.2,0,0,0
265,92495.85196,438197.4689,6.4,0,0,0
266,92495.85196,438197.4689,16,0,0,0
267,92495.85196,438197.4689,54.4,0,0,0
268,92492.74337,438199.9862,19.2,0,0,0
269,92492.74337,438199.9862,54.4,0,0,0
270,92489.63479,438202.5035,28.8,0,0,0
271,92489.63479,438202.5035,54.4,0,0,0
272,92486.52621,438205.0207,9.6,0,0,0
273,92486.52621,438205.0207,16,0,0,0
274,92486.52621,438205.0207,48,0,0,0
275,92483.41762,438207.538,1.19E-11,0,0,0
276,92483.41762,438207.538,6.4,0,0,0
277,92483.41762,438207.538,16,0,0,0
278,92483.41762,438207.538,19.2,0,0,0
279,92405.70303,438270.4701,3.2,0,0,0
280,92393.26869,438280.5392,-2.60E-12,0,0,0
281,92501.47782,438198.0602,6.4,0,0,0
282,92501.47782,438198.0602,22.4,0,0,0
283,92501.47782,438198.0602,57.6,0,0,0
284,92501.47782,438198.0602,67.2,0,0,0
285,92498.36924,438200.5775,3.2,0,0,0
286,92495.26066,438203.0948,32,0,0,0
287,92492.15207,438205.612,12.8,0,0,0
288,92492.15207,438205.612,19.2,0,0,0
289,92492.15207,438205.612,28.8,0,0,0
290,92492.15207,438205.612,60.8,0,0,0
291,92492.15207,438205.612,67.2,0,0,0
292,92489.04349,438208.1293,6.4,0,0,0
293,92489.04349,438208.1293,25.6,0,0,0
294,92489.04349,438208.1293,28.8,0,0,0
295,92489.04349,438208.1293,41.6,0,0,0
296,92408.22031,438273.5786,3.2,0,0,0
297,92408.22031,438273.5786,6.4,0,0,0
298,92405.11172,438276.0959,9.6,0,0,0
299,92398.89456,438281.1305,1.50E-12,0,0,0
300,92398.89456,438281.1305,3.2,0,0,0
301,92398.89456,438281.1305,12.8,0,0,0
302,92392.67739,438286.1651,3.28E-12,0,0,0
303,92507.10369,438198.6515,28.8,0,0,0
304,92507.10369,438198.6515,32,0,0,0
305,92507.10369,438198.6515,48,0,0,0
306,92503.99511,438201.1688,12.8,0,0,0
307,92503.99511,438201.1688,19.2,0,0,0
308,92503.99511,438201.1688,22.4,0,0,0
309,92503.99511,438201.1688,54.4,0,0,0
310,92500.88652,438203.6861,19.2,0,0,0
